baseline,metric,n_images,mean_ours,mean_baseline,delta_mean,ci95_lo,ci95_hi,ci_excludes_zero,p_holm_bonferroni,wilcoxon_W,wilcoxon_p_raw,note
Otsu,BF,100,0.4122,0.0440,+0.3682,+0.3337,+0.4029,yes,<0.001,11.0,5.43e-18,
Otsu,IoU,100,0.3516,0.1916,+0.1600,+0.1353,+0.1847,yes,<0.001,181.5,7.77e-16,
Otsu,Dice,100,0.5090,0.3079,+0.2012,+0.1720,+0.2305,yes,<0.001,151.0,3.28e-16,
Sauvola,BF,100,0.4122,0.2105,+0.2018,+0.1750,+0.2290,yes,<0.001,31.0,9.89e-18,
Sauvola,IoU,100,0.3516,0.2482,+0.1033,+0.0775,+0.1294,yes,<0.001,668.0,1.71e-10,
Sauvola,Dice,100,0.5090,0.3814,+0.1276,+0.0975,+0.1581,yes,<0.001,607.0,4.26e-11,
FixedCanny,BF,100,0.4122,0.3857,+0.0265,+0.0040,+0.0495,yes,0.280,2036.5,9.30e-02,
FixedCanny,IoU,100,0.3516,0.1829,+0.1686,+0.1384,+0.1982,yes,<0.001,349.0,7.33e-14,
FixedCanny,Dice,100,0.5090,0.2904,+0.2187,+0.1827,+0.2542,yes,<0.001,274.0,9.97e-15,
Val-tuned Canny,BF,100,0.4122,0.4112,+0.0010,-0.0212,+0.0238,no,0.462,2311.0,4.62e-01,
Val-tuned Canny,IoU,100,0.3516,0.1495,+0.2021,+0.1744,+0.2297,yes,<0.001,132.0,1.90e-16,
Val-tuned Canny,Dice,100,0.5090,0.2468,+0.2622,+0.2281,+0.2966,yes,<0.001,101.0,7.78e-17,
CAE,BF,100,0.4122,0.1149,+0.2973,+0.2683,+0.3268,yes,<0.001,0.0,3.90e-18,config mismatch: txt has CAE_p75 only; Table 1 reports val-tuned q=80 in all folds. Refresh from canonical val-tuned per-image CSV before final submission.
CAE,IoU,100,0.3516,0.0958,+0.2558,+0.2317,+0.2806,yes,<0.001,1.0,4.02e-18,config mismatch: txt has CAE_p75 only; Table 1 reports val-tuned q=80 in all folds. Refresh from canonical val-tuned per-image CSV before final submission.
CAE,Dice,100,0.5090,0.1670,+0.3421,+0.3115,+0.3737,yes,<0.001,1.0,4.02e-18,config mismatch: txt has CAE_p75 only; Table 1 reports val-tuned q=80 in all folds. Refresh from canonical val-tuned per-image CSV before final submission.
DexiNed,BF,100,0.4122,0.3821,+0.0302,+0.0114,+0.0487,yes,0.336,1480.0,3.27e-04,"config mismatch: txt has DexiNed default-threshold run; Table 1 reports val-tuned theta_e=0.6 in 4 folds, 0.7 in 1 fold. Refresh from canonical val-tuned per-image CSV before final submission."
DexiNed,IoU,100,0.3516,0.3266,+0.0250,-0.0062,+0.0560,no,<0.001,2098.0,1.42e-01,"config mismatch: txt has DexiNed default-threshold run; Table 1 reports val-tuned theta_e=0.6 in 4 folds, 0.7 in 1 fold. Refresh from canonical val-tuned per-image CSV before final submission."
DexiNed,Dice,100,0.5090,0.4651,+0.0439,+0.0093,+0.0789,yes,<0.001,1935.0,4.25e-02,"config mismatch: txt has DexiNed default-threshold run; Table 1 reports val-tuned theta_e=0.6 in 4 folds, 0.7 in 1 fold. Refresh from canonical val-tuned per-image CSV before final submission."
TEED,BF,100,0.4122,0.5083,-0.0960,-0.1135,-0.0787,yes,<0.001,204.0,1.46e-15,
TEED,IoU,100,0.3516,0.2413,+0.1102,+0.0928,+0.1269,yes,<0.001,209.0,1.68e-15,
TEED,Dice,100,0.5090,0.3802,+0.1288,+0.1089,+0.1479,yes,<0.001,210.0,1.72e-15,
DeepLabV3+,BF,100,0.4122,0.3405,+0.0718,+0.0450,+0.0975,yes,<0.001,1072.0,5.86e-07,
DeepLabV3+,IoU,100,0.3516,0.4131,-0.0615,-0.0841,-0.0389,yes,<0.001,1123.0,1.43e-06,
DeepLabV3+,Dice,100,0.5090,0.5663,-0.0573,-0.0824,-0.0317,yes,<0.001,1224.0,7.70e-06,
U-Net,BF,100,0.4122,0.5251,-0.1129,-0.1389,-0.0872,yes,<0.001,482.0,2.15e-12,
U-Net,IoU,100,0.3516,0.5591,-0.2076,-0.2324,-0.1819,yes,<0.001,153.0,3.47e-16,
U-Net,Dice,100,0.5090,0.7034,-0.1944,-0.2194,-0.1683,yes,<0.001,208.0,1.63e-15,
